date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-11-15,sz.300721,20.0500,24.0600,20.0500,24.0600,16.7100,8575,205713.5000,3,0.042768,1,43.985640,30.657271,3.573392,1.658425,-15.129562,0
2017-11-16,sz.300721,26.4700,26.4700,26.4700,26.4700,24.0600,2640,69880.8000,3,0.013167,1,10.016620,33.728095,3.931326,1.824543,-16.645034,0
2017-11-17,sz.300721,29.1200,29.1200,29.1200,29.1200,26.4700,3200,93184.0000,3,0.015960,1,10.011340,37.104728,4.324904,2.007204,-18.311424,0
2017-11-20,sz.300721,32.0300,32.0300,32.0300,32.0300,29.1200,6625,212198.7500,3,0.033042,1,9.993125,40.812652,4.757097,2.207786,-20.141308,0
2017-11-21,sz.300721,35.2300,35.2300,35.2300,35.2300,32.0300,22158,780626.3400,3,0.110514,1,9.990636,44.890095,5.232361,2.428358,-22.153553,0
2017-11-22,sz.300721,38.7500,38.7500,38.7500,38.7500,35.2300,21225,822468.7500,3,0.105860,1,9.991486,49.375281,5.755152,2.670987,-24.367021,0
2017-11-23,sz.300721,42.6300,42.6300,42.6300,42.6300,38.7500,50567,2155671.2100,3,0.252204,1,10.012910,54.319181,6.331410,2.938431,-26.806868,0
2017-11-24,sz.300721,41.9000,42.1000,38.3700,38.3700,42.6300,9105511,363716550.9600,3,45.414020,1,-9.992968,48.891085,5.698714,2.644794,-24.128067,0
2017-11-27,sz.300721,36.2100,36.5000,34.5300,34.5300,38.3700,6335407,223469444.8000,3,31.598040,1,-10.007820,43.998154,5.128397,2.380108,-21.713374,0
2017-11-28,sz.300721,33.6600,35.2700,33.6600,34.6900,34.5300,4923217,170800035.0200,3,24.554698,1,0.463365,44.202026,5.152161,2.391137,-21.813986,0
2017-11-29,sz.300721,34.7100,37.8200,33.2100,36.3500,34.6900,6224342,217902662.2000,3,31.044100,1,4.785241,46.317199,5.398704,2.505558,-22.857838,0
2017-11-30,sz.300721,36.6600,39.9900,36.3600,39.6800,36.3500,9395212,359578243.8000,3,46.858913,1,9.160941,50.560288,5.893276,2.735091,-24.951830,0
2017-12-01,sz.300721,38.1800,39.3900,36.6600,37.5900,39.6800,7168284,270674434.7500,3,35.752040,1,-5.267138,47.897208,5.582869,2.591030,-23.637583,0
2017-12-04,sz.300721,35.7000,36.0800,33.8300,33.8300,37.5900,4719354,162850153.6800,3,23.537925,1,-10.002660,43.106213,5.024433,2.331858,-21.273196,0
2017-12-05,sz.300721,33.1300,36.0000,33.1300,34.8000,33.8300,4986123,172039856.5700,3,24.868444,1,2.867270,44.342188,5.168498,2.398719,-21.883157,0
2017-12-06,sz.300721,34.4000,36.0300,34.0200,35.6100,34.8000,4400844,155276616.3200,3,21.949347,1,2.327590,45.374291,5.288799,2.454551,-22.392507,0
2017-12-07,sz.300721,35.0000,35.1300,33.5200,34.0000,35.6100,3989197,136792492.0900,3,19.896244,1,-4.521204,43.322828,5.049682,2.343576,-21.380096,0
2017-12-08,sz.300721,33.6800,36.8500,33.6500,36.1800,34.0000,5507414,195311979.4800,3,27.468399,1,6.411766,46.100585,5.373456,2.493840,-22.750938,0
2017-12-11,sz.300721,35.8800,36.9500,35.5200,36.7100,36.1800,4850396,175681308.6300,3,24.191501,1,1.464894,46.775912,5.452171,2.530373,-23.084216,0
2017-12-12,sz.300721,35.8000,35.9500,34.0200,34.0900,36.7100,4241008,148027290.5200,3,21.152160,1,-7.137017,43.437506,5.063049,2.349779,-21.436691,0
2017-12-13,sz.300721,34.1400,37.5000,33.9000,37.5000,34.0900,6974727,253770805.7400,3,34.786668,1,10.002930,47.782530,5.569502,2.584826,-23.580988,0
2017-12-14,sz.300721,38.1600,39.8800,37.2000,38.9600,37.5000,8949763,343341792.2300,3,44.637222,1,3.893331,49.642864,5.786341,2.685462,-24.499075,0
2017-12-15,sz.300721,38.0200,38.5000,37.5100,38.3000,38.9600,5684355,215988165.9600,3,28.350898,1,-1.694045,48.801891,5.688318,2.639969,-24.084050,0
2017-12-18,sz.300721,38.1800,40.9400,37.6200,39.1000,38.3000,8106289,318074902.4500,3,40.430369,1,2.088771,49.821252,5.807134,2.695112,-24.587111,0
2017-12-19,sz.300721,38.5100,42.5300,38.0000,41.0000,39.1000,8588430,348872983.2300,3,42.835062,1,4.859339,52.242233,6.089322,2.826077,-25.781881,0
2017-12-20,sz.300721,40.1000,40.6800,38.0000,39.6700,41.0000,7008005,275316956.1800,3,34.952643,1,-3.243907,50.547546,5.891791,2.734402,-24.945542,0
2017-12-21,sz.300721,39.1000,43.6400,38.7100,43.0100,39.6700,10443790,439958645.1900,3,52.088728,1,8.419461,54.803377,6.387847,2.964624,-27.045822,0
2017-12-22,sz.300721,41.7100,43.4500,41.0100,43.0300,43.0100,7787973,329099330.8700,3,38.842758,1,0.046502,54.828861,6.390818,2.966002,-27.058398,0
2017-12-25,sz.300721,41.9000,42.5000,40.1800,42.3400,43.0300,5534445,229875389.0800,3,27.603217,1,-1.603529,53.949662,6.288339,2.918441,-26.624508,0
2017-12-26,sz.300721,42.0500,44.1500,41.2000,42.3300,42.3400,8109358,348209046.3400,3,40.445676,1,-0.023614,53.936920,6.286854,2.917752,-26.618220,0
2017-12-27,sz.300721,41.5000,43.5800,40.5500,40.6100,42.3300,7383242,310438297.4200,3,36.824150,1,-4.063315,51.745295,6.031399,2.799195,-25.536638,0
2017-12-28,sz.300721,39.5300,40.6600,38.5000,39.7600,40.6100,6847247,270692049.0700,3,34.150858,1,-2.093086,50.662224,5.905157,2.740605,-25.002136,0
2017-12-29,sz.300721,39.6900,40.3400,37.7200,38.2500,39.7600,5183307,200632964.0500,3,25.851905,1,-3.797783,48.738181,5.680892,2.636523,-24.052608,0
2018-01-02,sz.300721,38.3100,39.8500,38.2500,39.5800,38.2500,4244399,166314292.7000,3,21.169072,1,3.477129,50.432868,5.878424,2.728198,-24.888947,0
2018-01-03,sz.300721,38.9600,39.4000,37.7200,38.4200,39.5800,4519701,173437245.5100,3,22.542150,1,-2.930782,48.954795,5.706140,2.648241,-24.159509,0
2018-01-04,sz.300721,38.5400,39.4700,38.4000,38.8400,38.4200,3222311,125049496.3800,3,16.071377,1,1.093186,49.489959,5.768519,2.677191,-24.423616,0
2018-01-05,sz.300721,38.8800,39.5000,38.0000,38.3200,38.8400,2936151,113392642.7000,3,14.644145,1,-1.338827,48.827375,5.691288,2.641348,-24.096626,0
2018-01-08,sz.300721,38.0200,38.4800,36.3200,37.8000,38.3200,4102069,152573091.9000,3,20.459197,1,-1.356995,48.164791,5.614058,2.605505,-23.769636,0
2018-01-09,sz.300721,37.4400,38.3800,37.1000,37.9400,37.8000,3138389,118744436.0100,3,15.652813,1,0.370369,48.343179,5.634851,2.615155,-23.857672,0
2018-01-10,sz.300721,37.9600,37.9900,36.0000,36.4500,37.9400,2934277,107948515.0400,3,14.634798,1,-3.927248,46.444620,5.413556,2.512451,-22.920721,0
2018-01-11,sz.300721,36.0000,37.4000,35.4600,36.6000,36.4500,2515522,92374079.3100,3,12.546244,1,0.411516,46.635750,5.435834,2.522791,-23.015045,0
2018-01-12,sz.300721,36.6400,37.1700,36.0000,36.5500,36.6000,2046052,74958042.3200,3,10.204748,1,-0.136610,46.572040,5.428408,2.519344,-22.983603,0
2018-01-15,sz.300721,36.2500,37.3600,35.1000,36.8800,36.5500,2985200,108482964.9400,3,14.888778,1,0.902878,46.992526,5.477420,2.542091,-23.191116,0
2018-01-16,sz.300721,36.6500,38.2900,36.5200,37.6900,36.8800,3726221,140426415.2000,3,18.584643,1,2.196306,48.024629,5.597721,2.597923,-23.700465,0
2018-01-17,sz.300721,37.1100,38.7400,37.0700,38.6800,37.6900,4005055,152468869.7400,3,19.975337,1,2.626696,49.286087,5.744756,2.666162,-24.323004,0
2018-01-18,sz.300721,38.4600,38.9700,37.5000,37.6500,38.6800,2590123,98661288.9800,3,12.918319,1,-2.662872,47.973660,5.591780,2.595166,-23.675312,0
2018-01-19,sz.300721,37.0000,38.3600,36.1200,36.2600,37.6500,2988491,111478653.7300,3,14.905192,1,-3.691908,46.202521,5.385337,2.499355,-22.801244,0
2018-01-22,sz.300721,35.7000,36.9000,34.0000,35.5000,36.2600,2665199,93267568.2200,3,13.292763,1,-2.095969,45.234129,5.272462,2.446969,-22.323336,0
2018-01-23,sz.300721,35.3000,36.5000,35.0900,35.5600,35.5000,1725100,61527181.5500,3,8.603990,1,0.169018,45.310581,5.281373,2.451105,-22.361065,0
2018-01-24,sz.300721,35.5600,36.1700,35.3000,35.8800,35.5600,1663287,59581957.7700,3,8.295696,1,0.899887,45.718325,5.328900,2.473162,-22.562290,0
2018-01-25,sz.300721,35.8800,36.6700,35.5500,35.5600,35.8800,1956440,70700925.1400,3,9.757805,1,-0.891861,45.310581,5.281373,2.451105,-22.361065,0
2018-01-26,sz.300721,35.5000,36.1700,34.9000,35.6500,35.5600,2430230,86276447.7500,3,12.120848,1,0.253094,45.425259,5.294740,2.457308,-22.417660,0
2018-01-29,sz.300721,35.9800,36.3800,35.3500,36.3700,35.6500,2181735,78448533.2000,3,10.881471,1,2.019628,46.342683,5.401674,2.506937,-22.870415,0
2018-01-30,sz.300721,36.0000,36.3500,35.6200,35.6500,36.3700,1475401,52965129.0200,3,7.358608,1,-1.979646,45.425259,5.294740,2.457308,-22.417660,0
2018-01-31,sz.300721,35.2800,35.6100,32.2800,32.2800,35.6500,2465786,83197057.9900,3,12.298185,1,-9.453022,41.131202,4.794227,2.225019,-20.298515,0
2018-02-01,sz.300721,32.1900,32.6000,30.0000,30.0600,32.2800,2173492,67628703.5900,3,10.840359,1,-6.877322,38.302476,4.464513,2.071997,-18.902520,0
2018-02-02,sz.300721,30.2300,30.6600,29.1100,29.5000,30.0600,1500117,44899895.9900,3,7.481880,1,-1.862939,37.588924,4.381342,2.033397,-18.550378,0
