date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn
2014-12-30,sz.002738,9.0800,10.9000,9.0800,10.9000,7.5700,29300,318005.0000,3,0.097667
2014-12-31,sz.002738,11.9900,11.9900,11.9900,11.9900,10.9000,10000,119900.0000,3,0.033333
2015-01-05,sz.002738,13.1900,13.1900,13.1900,13.1900,11.9900,14900,196531.0000,3,0.049667
2015-01-06,sz.002738,14.5100,14.5100,14.5100,14.5100,13.1900,28100,407731.0000,3,0.093667
2015-01-07,sz.002738,15.9600,15.9600,15.9600,15.9600,14.5100,55200,880992.0000,3,0.184000
2015-01-08,sz.002738,17.5600,17.5600,17.5600,17.5600,15.9600,116400,2043984.0000,3,0.388000
2015-01-09,sz.002738,19.3200,19.3200,19.3200,19.3200,17.5600,375100,7246932.0000,3,1.250333
2015-01-12,sz.002738,21.2000,21.2500,20.0200,21.2500,19.3200,16682944,345300592.0000,3,55.609813
2015-01-13,sz.002738,21.4600,23.3800,20.6100,23.3800,21.2500,11793151,261423771.0000,3,39.310503
2015-01-14,sz.002738,24.5000,25.7200,24.0300,25.7200,23.3800,9613421,241820756.0000,3,32.044737
2015-01-15,sz.002738,26.6000,28.2900,26.3600,28.2900,25.7200,11310031,312623264.0000,3,37.700103
2015-01-16,sz.002738,30.2100,31.1200,30.1400,31.1200,28.2900,5630590,173884461.0000,3,18.768633
2015-01-19,sz.002738,33.3300,34.2300,30.5000,34.2300,31.1200,16965576,560273040.0000,3,56.551920
2015-01-20,sz.002738,33.6000,37.6500,33.5800,37.6500,34.2300,9465091,344109936.0000,3,31.550303
2015-01-21,sz.002738,41.3800,41.4200,38.2800,38.3000,37.6500,18984398,761455568.0000,3,63.281327
2015-01-22,sz.002738,37.2300,41.3800,37.2300,40.2000,38.3000,15375876,605020096.0000,3,51.252920
2015-01-23,sz.002738,39.3500,39.8800,37.3000,37.3700,40.2000,11688840,446407680.0000,3,38.962800
2015-01-26,sz.002738,36.9800,38.3800,36.3800,37.8900,37.3700,10387324,387137136.0000,3,34.624413
2015-01-27,sz.002738,37.1100,38.5400,37.0100,37.6200,37.8900,8087900,305179168.0000,3,26.959667
2015-01-28,sz.002738,37.1200,41.3800,37.1200,41.3800,37.6200,14576160,589029504.0000,3,48.587200
2015-01-29,sz.002738,40.0000,44.4900,39.1100,40.0100,41.3800,20332385,857960464.0000,3,67.774617
2015-01-30,sz.002738,38.6100,38.7100,36.0100,36.0100,40.0100,13794033,513237088.0000,3,45.980110
2015-02-02,sz.002738,35.0000,35.5000,33.5800,33.9000,36.0100,8962778,307292096.0000,3,29.875927
2015-02-03,sz.002738,34.3000,36.6800,34.0500,35.1300,33.9000,9068788,318512160.0000,3,30.229293
2015-02-04,sz.002738,34.4800,35.0800,33.8000,34.7800,35.1300,7417953,254835464.0000,3,24.726510
2015-02-05,sz.002738,34.7400,36.6500,33.8700,34.7200,34.7800,10102119,357881360.0000,3,33.673730
2015-02-06,sz.002738,33.0000,33.2800,31.2500,31.4700,34.7200,8760306,280090816.0000,3,29.201020
2015-02-09,sz.002738,31.3000,32.1500,31.0000,31.6700,31.4700,4108175,129881841.0000,3,13.693917
2015-02-10,sz.002738,31.6800,32.1400,31.0000,32.0400,31.6700,3799394,120368966.0000,3,12.664647
2015-02-11,sz.002738,32.2800,33.0000,31.8000,31.9100,32.0400,4903743,159094535.0000,3,16.345810
2015-02-12,sz.002738,31.4900,34.2300,31.4000,32.4000,31.9100,7800281,254855022.0000,3,26.000937
2015-02-13,sz.002738,31.9800,34.9600,31.8000,33.8000,32.4000,9750767,326204256.0000,3,32.502557
2015-02-16,sz.002738,32.9900,33.5900,32.3900,32.9000,33.8000,6101015,200722909.0000,3,20.336717
2015-02-17,sz.002738,33.0000,34.1200,32.3000,32.5100,32.9000,4297719,142062870.0000,3,14.325730
2015-02-25,sz.002738,32.6500,34.6900,32.1600,33.6200,32.5100,6679427,223956832.0000,3,22.264757
2015-02-26,sz.002738,33.1600,33.3900,32.2000,32.9000,33.6200,5174087,169565135.0000,3,17.246957
2015-02-27,sz.002738,32.9000,34.3500,32.6100,33.5400,32.9000,6290168,211174947.0000,3,20.967227
2015-03-02,sz.002738,33.7400,34.0800,33.1000,33.9900,33.5400,4887697,164970038.0000,3,16.292323
2015-03-03,sz.002738,33.6000,37.3800,33.0500,35.2000,33.9900,10386104,364473328.0000,3,34.620347
2015-03-04,sz.002738,34.2800,36.2100,34.2800,35.2300,35.2000,6639760,234500935.0000,3,22.132533
