date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn
2010-01-04,sh.600062,23.6500,24.1000,23.4900,23.7100,23.5500,4036750,95961116.0000,3,1.399015
2010-01-05,sh.600062,23.7100,24.2000,23.6000,24.1900,23.7100,3307763,79330019.0000,3,1.146370
2010-01-06,sh.600062,23.9500,24.1000,22.7500,23.0100,24.1900,11231417,260429933.0000,3,3.892468
2010-01-07,sh.600062,22.8900,23.1100,22.6800,22.7100,23.0100,3538722,80757710.0000,3,1.226414
2010-01-08,sh.600062,22.8000,23.1000,22.6500,22.9700,22.7100,2066260,47278994.0000,3,0.716103
2010-01-11,sh.600062,22.9100,23.3900,22.3000,22.6300,22.9700,4069685,93191220.0000,3,1.410429
2010-01-12,sh.600062,22.6000,22.8600,21.7500,22.8400,22.6300,8145049,181120978.0000,3,2.822827
2010-01-13,sh.600062,22.3500,23.0100,22.1900,22.8800,22.8400,5945079,135267008.0000,3,2.060384
2010-01-14,sh.600062,23.0000,23.7900,22.8500,23.6900,22.8800,8696381,204363958.0000,3,3.013902
2010-01-15,sh.600062,23.5500,24.5900,23.5000,24.2900,23.6900,9194188,221900264.0000,3,3.186427
2010-01-18,sh.600062,24.2000,25.3900,24.0200,24.9400,24.2900,9097935,226911625.0000,3,3.153068
2010-01-19,sh.600062,24.9600,25.0400,24.5000,24.8100,24.9400,3493973,86463570.0000,3,1.210905
2010-01-20,sh.600062,24.8100,24.9600,24.0200,24.1900,24.8100,3565284,87520257.0000,3,1.235619
2010-01-21,sh.600062,24.0500,25.4000,24.0400,24.9200,24.1900,8438200,211133539.0000,3,2.924424
2010-01-22,sh.600062,24.5500,25.2800,24.2200,25.1300,24.9200,4259645,105537586.0000,3,1.348388
2010-01-25,sh.600062,24.9000,25.1400,24.5100,24.6000,25.1300,3959749,98433173.0000,3,1.253456
2010-01-26,sh.600062,24.4500,24.7800,23.3000,23.5900,24.6000,3314663,79281342.0000,3,1.049254
2010-01-27,sh.600062,23.6000,23.7500,23.1000,23.4100,23.5900,2493135,58329817.0000,3,0.789200
2010-01-28,sh.600062,23.1600,24.1600,23.1600,23.9300,23.4100,3559647,84895553.0000,3,1.126804
2010-01-29,sh.600062,23.7000,24.6100,23.7000,24.1300,23.9300,2946420,71449409.0000,3,0.925850
2010-02-01,sh.600062,24.3000,25.1500,24.1800,24.5900,24.1300,6847814,169730038.0000,3,2.151780
2010-02-02,sh.600062,24.5100,25.0300,24.3000,24.7800,24.5900,5107923,126134767.0000,3,1.605056
2010-02-03,sh.600062,24.7000,25.6600,24.0300,25.6500,24.7800,10879575,271959845.0000,3,3.418675
2010-02-04,sh.600062,25.2600,25.4400,24.7900,24.9200,25.6500,5436094,135987023.0000,3,1.708177
2010-02-05,sh.600062,24.4700,25.4000,24.3000,24.9800,24.9200,6439671,159782212.0000,3,2.023529
2010-02-08,sh.600062,24.9800,26.1600,24.9800,25.8000,24.9800,6348031,163882054.0000,3,1.994733
2010-02-09,sh.600062,25.8000,26.0500,25.5600,25.8000,25.8000,3578845,92626836.0000,3,1.124576
2010-02-10,sh.600062,25.8300,26.2600,25.3300,26.0700,25.8000,3243200,83819331.0000,3,1.019106
2010-02-11,sh.600062,26.0000,26.3000,25.7000,25.8900,26.0700,4169288,108393801.0000,3,1.310110
2010-02-12,sh.600062,25.8600,26.2000,25.6900,25.9500,25.8900,2090995,54261012.0000,3,0.657051
2010-02-22,sh.600062,25.8300,25.9400,25.2000,25.4000,25.9500,1766461,44997251.0000,3,0.555073
2010-02-23,sh.600062,25.4000,25.7600,25.1000,25.7400,25.4000,1628037,41409324.0000,3,0.511576
2010-02-24,sh.600062,25.7000,26.1800,25.5200,26.0000,25.7400,2247097,58323017.0000,3,0.706102
2010-02-25,sh.600062,26.2100,26.2200,25.8200,26.0000,26.0000,2072340,53873939.0000,3,0.651189
2010-02-26,sh.600062,26.0200,26.8700,25.8600,26.0800,26.0000,3017382,79591036.0000,3,0.948148
2010-03-01,sh.600062,25.8500,26.8600,25.8300,26.7800,26.0800,8487386,225452064.0000,3,2.666980
2010-03-02,sh.600062,26.6200,27.2800,26.5200,27.2200,26.7800,4542791,122907425.0000,3,1.427475
2010-03-03,sh.600062,27.2000,27.2000,26.8600,26.9900,27.2200,1625981,43822899.0000,3,0.510930
2010-03-04,sh.600062,27.1000,27.3900,26.0300,26.1200,26.9900,2212089,59069359.0000,3,0.695102
2010-03-05,sh.600062,26.1000,26.6300,26.1000,26.2100,26.1200,1513602,39807875.0000,3,0.475617
2010-03-08,sh.600062,26.1200,26.4700,25.9000,26.0500,26.2100,1648584,43061978.0000,3,0.518032
2010-03-09,sh.600062,26.0500,26.6500,25.9400,26.6500,26.0500,3573720,93855119.0000,3,1.122965
2010-03-10,sh.600062,26.3000,26.4000,25.6600,25.7700,26.6500,2348707,60945174.0000,3,0.738031
2010-03-11,sh.600062,25.7100,25.7300,24.7700,25.4900,25.7700,4401850,110653158.0000,3,1.383188
2010-03-12,sh.600062,25.3000,25.3000,24.9100,25.1000,25.4900,2425527,60752418.0000,3,0.762170
2010-03-15,sh.600062,24.8800,25.4200,24.7200,25.3000,25.1000,1380229,34662622.0000,3,0.433708
2010-03-16,sh.600062,25.2500,25.2600,24.8300,24.9500,25.3000,3938472,98210926.0000,3,1.237581
2010-03-17,sh.600062,24.9100,25.3900,24.9100,25.3500,24.9500,1911570,48026179.0000,3,0.600670
2010-03-18,sh.600062,25.4700,25.4900,24.9800,25.2000,25.3500,1146307,28827001.0000,3,0.360203
2010-03-19,sh.600062,25.2400,25.3500,24.9300,25.3000,25.2000,1116017,27982964.0000,3,0.350685
2010-03-22,sh.600062,25.3800,25.3800,24.8900,25.0400,25.3000,2739017,68429951.0000,3,0.860678
2010-03-23,sh.600062,25.0400,25.0900,24.5800,24.9800,25.0400,3135139,77622429.0000,3,0.985151
2010-03-24,sh.600062,24.9000,24.9300,24.6800,24.8300,24.9800,1918818,47555912.0000,3,0.602948
2010-03-25,sh.600062,24.8300,24.8300,24.5500,24.6400,24.8300,934564,23025014.0000,3,0.293667
2010-03-26,sh.600062,24.5900,25.1000,24.5100,25.0800,24.6400,1390182,34598378.0000,3,0.436835
2010-03-29,sh.600062,25.0800,25.3600,25.0100,25.2100,25.0800,3745489,94426407.0000,3,1.176940
2010-03-30,sh.600062,25.3000,26.5000,25.3000,25.8400,25.2100,9719612,252112840.0000,3,3.054181
2010-03-31,sh.600062,26.0800,26.0800,25.6200,25.6800,25.8400,4000470,103130675.0000,3,1.257062
2010-04-01,sh.600062,25.6000,26.6000,25.6000,25.8800,25.6800,6926426,180439580.0000,3,2.176482
2010-04-02,sh.600062,25.9200,26.0300,25.4500,25.9100,25.8800,3189722,82171216.0000,3,1.002302
2010-04-06,sh.600062,26.2400,26.4800,25.7700,26.1100,25.9100,3927718,102043910.0000,3,1.234202
2010-04-07,sh.600062,26.1200,26.1200,25.8200,26.0600,26.1100,1695819,44033459.0000,3,0.532875
2010-04-08,sh.600062,26.0600,26.4400,25.6600,26.1000,26.0600,2501956,65267201.0000,3,0.786186
2010-04-09,sh.600062,26.1500,26.8500,26.0800,26.7900,26.1000,5365255,142524996.0000,3,1.685917
2010-04-12,sh.600062,26.8500,28.2400,26.8500,28.0700,26.7900,9033995,252478143.0000,3,2.838740
2010-04-13,sh.600062,28.0000,28.1500,27.3000,28.0800,28.0700,3623799,100497058.0000,3,1.138702
2010-04-14,sh.600062,28.1000,28.4500,27.8100,27.9000,28.0800,6792144,190888367.0000,3,2.134287
2010-04-15,sh.600062,27.6600,28.0900,27.3000,27.3400,27.9000,2945738,81372402.0000,3,0.925635
2010-04-16,sh.600062,27.4800,27.6400,27.2000,27.2000,27.3400,1900191,52149286.0000,3,0.597095
2010-04-19,sh.600062,27.2700,28.2000,27.0100,27.5600,27.2000,5681152,158338197.0000,3,1.785181
2010-04-20,sh.600062,27.5300,29.5100,27.0700,29.1800,27.5600,9752947,281022487.0000,3,3.064656
2010-04-21,sh.600062,29.1900,29.9400,28.6400,29.4400,29.1800,7088661,208875798.0000,3,2.227461
2010-04-22,sh.600062,29.3000,30.2500,29.0300,29.9000,29.4400,3496593,104657994.0000,3,1.098730
2010-04-23,sh.600062,29.9200,30.1700,29.0700,29.4400,29.9000,1804770,53380203.0000,3,0.567111
2010-04-26,sh.600062,29.4900,30.0000,29.1000,29.7100,29.4400,1786593,52599059.0000,3,0.561399
2010-04-27,sh.600062,29.2500,29.4500,27.8500,28.9900,29.7100,2862790,82353140.0000,3,0.899571
2010-04-28,sh.600062,28.8500,29.8600,28.1500,29.8400,28.9900,3435965,101686590.0000,3,1.079679
2010-04-29,sh.600062,29.9800,30.0000,28.6200,28.8100,29.8400,1769991,52082979.0000,3,0.556182
2010-04-30,sh.600062,28.3500,29.4000,27.3900,28.8500,28.8100,2989745,84603771.0000,3,0.939464
2010-05-04,sh.600062,28.0600,29.5400,28.0600,28.8600,28.8500,1077208,31322682.0000,3,0.338490
2010-05-05,sh.600062,28.6600,29.9000,28.6000,29.8800,28.8600,2727958,79454667.0000,3,0.857203
2010-05-06,sh.600062,29.9900,30.1800,29.0200,29.5600,29.8800,3514015,104887958.0000,3,1.104204
2010-05-07,sh.600062,29.0800,29.0800,27.2200,27.5000,29.5600,4983870,140162378.0000,3,1.566075
2010-05-10,sh.600062,27.4800,27.7000,26.6800,27.0900,27.5000,5474693,148421339.0000,3,1.720306
2010-05-11,sh.600062,27.7000,27.7000,25.6500,26.0900,27.0900,2108403,56514398.0000,3,0.662521
2010-05-12,sh.600062,25.8500,26.5300,25.6000,25.6900,26.0900,2755737,71960364.0000,3,0.865932
2010-05-13,sh.600062,25.5500,27.2000,25.5500,26.9600,25.6900,2234457,59003736.0000,3,0.702130
2010-05-14,sh.600062,26.8800,28.2700,26.7500,28.0000,26.9600,4485618,124695949.0000,3,1.409510
2010-05-17,sh.600062,27.5000,27.8200,26.8400,26.8700,28.0000,2615103,70897746.0000,3,0.821740
2010-05-18,sh.600062,26.8600,27.4900,26.5000,27.2200,26.8700,4161734,112892764.0000,3,1.307736
2010-05-19,sh.600062,27.5000,27.5000,26.5600,27.1700,27.2200,1574100,42571137.0000,3,0.494627
2010-05-20,sh.600062,26.8200,27.2500,26.6000,26.7800,27.1700,2886507,77740201.0000,3,0.907023
2010-05-21,sh.600062,25.5100,27.0000,25.5100,26.8000,26.7800,2760414,73206009.0000,3,0.867401
2010-05-24,sh.600062,26.9500,27.8000,26.9000,27.7900,26.8000,3505204,96544545.0000,3,1.101436
2010-05-25,sh.600062,27.5500,28.4900,27.2000,28.3900,27.7900,3254297,91205580.0000,3,1.022593
2010-05-26,sh.600062,28.2800,28.6700,27.5800,27.7100,28.3900,4986433,139828854.0000,3,1.566880
2010-05-27,sh.600062,27.5000,28.2600,27.4400,28.0300,27.7100,3559902,99466959.0000,3,1.118623
2010-05-28,sh.600062,28.1800,29.4600,28.1500,29.2800,28.0300,5865521,168734424.0000,3,1.843115
2010-05-31,sh.600062,29.2500,29.8700,28.7000,29.0600,29.2800,3869462,113654657.0000,3,1.215896
2010-06-01,sh.600062,28.8000,28.8800,27.7000,28.2900,29.0600,3115619,87773519.0000,3,0.979017
2010-06-02,sh.600062,27.9900,28.8500,27.7300,28.7900,28.2900,873150,24654418.0000,3,0.274369
2010-06-03,sh.600062,28.8300,29.4500,28.5100,28.5300,28.7900,2400630,69877869.0000,3,0.754347
2010-06-04,sh.600062,28.4600,28.9000,27.8300,28.6000,28.5300,1633643,46272191.0000,3,0.513337
2010-06-07,sh.600062,28.0000,28.6600,27.9500,28.3000,28.6000,3404237,96659550.0000,3,1.069709
2010-06-08,sh.600062,28.4000,29.0000,28.3100,28.8900,28.3000,3995894,114344655.0000,3,1.255625
2010-06-09,sh.600062,29.0300,29.2500,28.6800,28.7800,28.8900,3517730,101403300.0000,3,1.105372
2010-06-10,sh.600062,28.7800,28.7800,28.7800,28.7800,28.7800,0,0.0000,3,
2010-06-11,sh.600062,28.9000,29.5200,27.4900,27.6200,28.7800,6384517,179856232.0000,3,2.006198
2010-06-17,sh.600062,27.8800,27.9000,26.1900,27.1600,27.6200,9472815,255198673.0000,3,2.976630
2010-06-18,sh.600062,26.8600,27.0900,25.9100,26.1200,27.1600,5334081,141587151.0000,3,1.676121
2010-06-21,sh.600062,26.0800,26.5800,25.0000,26.0000,26.1200,2879184,75199048.0000,3,0.904722
2010-06-22,sh.600062,26.0000,26.6000,25.8000,26.5400,26.0000,3082881,81330184.0000,3,0.968730
2010-06-23,sh.600062,26.4800,26.7300,25.7300,26.0500,26.5400,1788870,46826119.0000,3,0.562114
2010-06-24,sh.600062,26.0800,26.5300,25.7500,26.3300,26.0500,1184647,31006926.0000,3,0.372250
2010-06-25,sh.600062,26.2800,26.2800,25.2000,25.7800,26.3300,1135822,29225593.0000,3,0.356908
2010-06-28,sh.600062,25.6500,26.0500,25.1600,25.6800,25.7800,1557329,39902400.0000,3,0.489357
2010-06-29,sh.600062,25.5000,25.8500,24.9600,25.7600,25.6800,2127702,54034355.0000,3,0.668585
2010-06-30,sh.600062,25.5000,26.1700,25.2200,25.9600,25.7600,2442808,63336257.0000,3,0.839813
2010-07-01,sh.600062,25.9500,26.3200,24.5100,25.3500,25.9600,1751665,44931762.0000,3,0.602205
2010-07-02,sh.600062,25.5000,25.8500,23.0800,23.4000,25.1200,3850553,94712457.0000,3,1.323781
2010-07-05,sh.600062,23.1300,23.6500,22.8800,23.0900,23.4000,1401882,32539921.0000,3,0.481953
2010-07-06,sh.600062,23.2500,24.0500,23.1000,24.0000,23.0900,1407391,33347750.0000,3,0.483847
2010-07-07,sh.600062,23.8100,24.2500,23.6000,24.0500,24.0000,1339771,32038000.0000,3,0.460600
2010-07-08,sh.600062,24.1500,24.1500,23.6800,23.9000,24.0500,723527,17291251.0000,3,0.248741
2010-07-09,sh.600062,23.9100,24.1500,23.6900,23.9100,23.9000,4669983,111862765.0000,3,1.605493
2010-07-12,sh.600062,23.7600,24.0800,23.7100,23.9900,23.9100,3107848,74193467.0000,3,1.068447
2010-07-13,sh.600062,23.9100,23.9100,23.0000,23.2000,23.9900,2551052,59447212.0000,3,0.877026
2010-07-14,sh.600062,23.1300,23.7700,23.1300,23.4000,23.2000,3558284,83359458.0000,3,1.223302
2010-07-15,sh.600062,23.4200,23.7600,23.2500,23.3300,23.4000,2378128,55927283.0000,3,0.817576
2010-07-16,sh.600062,23.3000,23.9800,23.0100,23.9400,23.3300,1710589,40404191.0000,3,0.588083
2010-07-19,sh.600062,23.8000,24.2500,23.6000,23.9700,23.9400,3241559,77886756.0000,3,1.114415
2010-07-20,sh.600062,24.1800,25.1400,24.0000,24.8500,23.9700,3062280,75030393.0000,3,1.052781
2010-07-21,sh.600062,24.8400,25.1000,24.5100,24.8500,24.8500,1743158,43267835.0000,3,0.599280
2010-07-22,sh.600062,24.6500,25.0900,24.6300,25.0200,24.8500,2720281,67665865.0000,3,0.935205
