date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn
2010-01-04,sh.600675,14.7600,14.8900,14.3700,14.3800,14.7400,14390824,209181116.0000,3,1.791424
2010-01-05,sh.600675,14.3800,14.3800,13.8600,13.9800,14.3800,30733576,429703476.0000,3,3.825831
2010-01-06,sh.600675,13.9800,14.2900,13.8500,14.0300,13.9800,17168428,242080392.0000,3,2.137190
2010-01-07,sh.600675,14.0800,14.2700,13.8700,14.0100,14.0300,16856843,236603637.0000,3,2.098403
2010-01-08,sh.600675,14.0000,14.2900,13.9100,14.2300,14.0100,15245246,215867208.0000,3,1.897786
2010-01-11,sh.600675,14.3200,14.4000,13.8500,13.9100,14.2300,16315176,228449867.0000,3,2.030974
2010-01-12,sh.600675,13.9000,14.1700,13.5900,14.0800,13.9100,15551244,216274646.0000,3,1.935877
2010-01-13,sh.600675,13.7000,13.8300,13.4000,13.4100,14.0800,24986549,339224851.0000,3,3.110419
2010-01-14,sh.600675,13.4200,13.5800,13.2100,13.5100,13.4100,15575176,209171134.0000,3,1.938856
2010-01-15,sh.600675,13.5700,14.0000,13.5700,13.8400,13.5100,19090543,264480807.0000,3,2.376463
2010-01-18,sh.600675,13.8300,14.1000,13.7400,14.0500,13.8400,17958467,250941504.0000,3,2.235537
2010-01-19,sh.600675,14.1300,14.3700,14.0500,14.1300,14.0500,17449555,247609561.0000,3,2.172186
2010-01-20,sh.600675,14.2200,14.3000,13.4100,13.4900,14.1300,18432883,254240830.0000,3,2.294595
2010-01-21,sh.600675,13.6200,14.5000,13.5000,14.4200,13.4900,32552643,458214621.0000,3,4.052275
2010-01-22,sh.600675,14.1600,14.9000,14.0000,14.6400,14.4200,59868249,873587675.0000,3,7.452625
2010-01-25,sh.600675,14.5500,14.5500,14.0600,14.2000,14.6400,19384846,276957587.0000,3,2.413098
2010-01-26,sh.600675,14.1200,14.2600,13.2200,13.4100,14.2000,18643389,252856673.0000,3,2.320799
2010-01-27,sh.600675,13.3900,13.5800,13.0000,13.0700,13.4100,12920501,170321876.0000,3,1.608393
2010-01-28,sh.600675,13.0200,13.3000,12.9000,13.2300,13.0700,8870822,116146632.0000,3,1.104273
2010-01-29,sh.600675,13.1500,13.3900,13.0000,13.2400,13.2300,9781914,129483767.0000,3,1.217689
2010-02-01,sh.600675,13.2300,13.3000,12.7000,13.1600,13.2400,11588732,150069118.0000,3,1.442609
2010-02-02,sh.600675,13.2100,13.4500,12.9000,12.9200,13.1600,8635307,114096373.0000,3,1.074955
2010-02-03,sh.600675,12.9600,13.3400,12.7400,13.3000,12.9200,12421323,162752689.0000,3,1.546253
2010-02-04,sh.600675,13.1900,13.7800,13.0800,13.4300,13.3000,17647385,238836850.0000,3,2.196813
2010-02-05,sh.600675,13.1800,13.3000,12.9100,13.0200,13.4300,10236088,133962680.0000,3,1.274227
2010-02-08,sh.600675,13.0000,13.4400,13.0000,13.1100,13.0200,9454952,125308431.0000,3,1.176988
2010-02-09,sh.600675,13.1100,13.2800,13.0800,13.1400,13.1100,6249238,82240619.0000,3,0.777929
2010-02-10,sh.600675,13.4000,13.4500,13.1500,13.3200,13.1400,10988028,146025108.0000,3,1.367831
2010-02-11,sh.600675,13.3300,13.4800,13.2500,13.3200,13.3200,9185735,122791035.0000,3,1.143475
2010-02-12,sh.600675,13.3700,13.4000,13.2400,13.3500,13.3200,7818147,104293846.0000,3,0.973232
2010-02-22,sh.600675,13.2500,13.3600,13.1300,13.2200,13.3500,10589430,140257399.0000,3,1.318212
2010-02-23,sh.600675,13.1500,13.2000,12.8500,13.0300,13.2200,9806781,127100259.0000,3,1.220785
2010-02-24,sh.600675,12.9000,13.2400,12.8300,13.2300,13.0300,9322483,121983852.0000,3,1.160498
2010-02-25,sh.600675,13.2400,13.7700,13.2400,13.7500,13.2300,27355773,371441473.0000,3,3.405349
2010-02-26,sh.600675,13.7500,13.7500,13.5200,13.5700,13.7500,15685539,213618713.0000,3,1.952595
2010-03-01,sh.600675,13.4700,13.6100,13.3300,13.5600,13.5700,12910276,174248131.0000,3,1.607120
2010-03-02,sh.600675,13.5600,13.6900,13.4400,13.6700,13.5600,14750228,200584334.0000,3,1.836164
2010-03-03,sh.600675,13.6700,13.7000,13.4700,13.6100,13.6700,16770543,227320777.0000,3,2.087660
2010-03-04,sh.600675,13.5900,13.7900,12.9300,13.0900,13.6100,20624051,277901457.0000,3,2.567359
2010-03-05,sh.600675,13.1600,13.3900,12.9600,13.2000,13.0900,11839787,155985453.0000,3,1.473861
2010-03-08,sh.600675,13.2600,13.7800,13.0900,13.5800,13.2000,20671508,279613101.0000,3,2.573267
2010-03-09,sh.600675,13.5000,14.1500,13.3600,13.8900,13.5800,40030958,555431044.0000,3,4.983204
2010-03-10,sh.600675,13.9000,13.9900,13.5300,13.6000,13.8900,18607147,255574147.0000,3,2.316288
2010-03-11,sh.600675,13.6000,13.7400,13.2800,13.4000,13.6000,13556274,182412815.0000,3,1.687536
2010-03-12,sh.600675,13.4600,13.5500,13.2300,13.2500,13.4000,9306095,124693164.0000,3,1.158458
2010-03-15,sh.600675,13.2400,13.4000,13.1100,13.3100,13.2500,7135673,94755461.0000,3,0.888275
2010-03-16,sh.600675,13.3300,13.4800,13.1900,13.4500,13.3100,7543964,100749508.0000,3,0.939101
2010-03-17,sh.600675,13.4500,13.7500,13.3800,13.7000,13.4500,13803726,187959158.0000,3,1.718340
2010-03-18,sh.600675,13.8000,14.0200,13.6400,13.7900,13.7000,19152661,265510774.0000,3,2.384195
2010-03-19,sh.600675,13.8800,14.1200,13.8300,13.9100,13.7900,16973602,237096127.0000,3,2.112938
2010-03-22,sh.600675,13.8500,14.0300,13.7400,13.8700,13.9100,10843228,150171878.0000,3,1.349806
2010-03-23,sh.600675,13.8400,13.8400,13.5300,13.5500,13.8700,13345042,181850800.0000,3,1.661241
2010-03-24,sh.600675,13.5600,13.7500,13.5200,13.5800,13.5500,7966225,108534951.0000,3,0.991666
2010-03-25,sh.600675,13.5800,13.5800,13.5800,13.5800,13.5800,0,0.0000,3,
2010-03-26,sh.600675,13.3900,13.8700,13.3100,13.7000,13.5800,12128309,165349492.0000,3,1.509777
2010-03-29,sh.600675,13.7500,13.9700,13.6900,13.9500,13.7000,17263391,239574662.0000,3,2.149012
2010-03-30,sh.600675,13.9500,14.1500,13.8200,14.0800,13.9500,19856680,278757956.0000,3,2.471834
2010-03-31,sh.600675,14.0800,14.1400,13.9000,13.9300,14.0800,13138430,183967985.0000,3,1.635521
2010-04-01,sh.600675,13.9100,14.5000,13.9100,14.4100,13.9300,31315136,446774598.0000,3,3.898226
2010-04-02,sh.600675,14.4500,14.6300,14.4100,14.4500,14.4100,27522042,399519114.0000,3,3.426047
2010-04-06,sh.600675,14.4300,14.4500,13.9600,14.0700,14.4500,28040932,395861035.0000,3,3.490641
2010-04-07,sh.600675,14.0400,14.0400,13.7400,13.8700,14.0700,15052713,208317078.0000,3,1.873818
2010-04-08,sh.600675,13.8700,13.9800,13.5500,13.6300,13.8700,19018468,261566849.0000,3,2.367490
2010-04-09,sh.600675,13.6800,13.9000,13.6100,13.8000,13.6300,14083441,193274196.0000,3,1.753160
2010-04-12,sh.600675,13.7500,13.7800,13.1800,13.4000,13.8000,30703088,410542156.0000,3,3.822036
2010-04-13,sh.600675,13.3900,13.5800,13.1600,13.5000,13.4000,13647362,183098097.0000,3,1.698875
2010-04-14,sh.600675,13.4200,13.6300,13.3900,13.5100,13.5000,11384476,153451724.0000,3,1.417182
2010-04-15,sh.600675,10.3500,10.4600,10.2800,10.3700,10.3900,6788481,70371293.0000,3,0.650043
2010-04-16,sh.600675,10.2600,10.3900,10.0800,10.1900,10.3700,11274406,115067512.0000,3,1.079600
